date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:04	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/robots.txt		(from )
16:25:05	17715/17715	---MCZ	200	added ('OK')	text/html	etag:W/%225851d53d-4533%22	http://findmatthew.com/	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/index.html	(from )
16:25:05	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%225851d53d-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
16:25:05	26859/26859	---MCZ	200	added ('OK')	text/css	etag:W/%225851d53d-68eb%22	http://findmatthew.com/style/style.css	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/style/style.css	(from http://findmatthew.com/)
16:25:06	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225851d53d-47e%22	http://findmatthew.com/favicon.ico	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
16:25:06	5876/5876	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4abe-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
16:25:06	85589/85589	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
16:25:06	29299/29299	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a4b-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
16:25:07	8833/8833	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ad6-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
16:25:08	4480/4480	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851d53d-1180%22	http://findmatthew.com/scripts/index.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
